date,value
2019-09-30,5357
2019-08-31,5882
2019-07-31,5922
2019-06-30,5446
2019-05-31,4900
2019-04-30,4032
2019-03-31,3538
2019-02-28,3306
2019-01-31,3612
2018-12-31,4113
2018-11-30,4176
2018-10-31,4702
2018-09-30,5127
2018-08-31,5888
2018-07-31,5784
2018-06-30,5461
2018-05-31,4912
2018-04-30,4182
2018-03-31,3597
2018-02-28,3587
2018-01-31,3990
2017-12-31,4496
2017-11-30,4502
2017-10-31,4922
2017-09-30,5166
2017-08-31,5833
2017-07-31,5861
2017-06-30,5655
2017-05-31,5038
2017-04-30,4129
2017-03-31,3591
2017-02-28,3416
2017-01-31,3690
2016-12-31,4008
2016-11-30,4071
2016-10-31,4625
2016-09-30,5060
2016-08-31,5632
2016-07-31,5538
2016-06-30,5329
2016-05-31,4561
2016-04-30,3816
2016-03-31,3118
2016-02-29,3138
2016-01-31,3191
2015-12-31,3718
2015-11-30,3785
2015-10-31,4296
2015-09-30,4669
2015-08-31,5278
2015-07-31,5187
2015-06-30,4767
2015-05-31,4097
2015-04-30,3529
2015-03-31,3003
2015-02-28,2890
2015-01-31,3010
2014-12-31,3401
2014-11-30,3460
2014-10-31,3820
2014-09-30,4122
2014-08-31,4463
2014-07-31,4486
2014-06-30,4236
2014-05-31,3615
2014-04-30,3033
2014-03-31,2622
2014-02-28,2764
2014-01-31,3027
2013-12-31,3274
2013-11-30,3312
2013-10-31,3682
2013-09-30,4107
2013-08-31,4492
2013-07-31,4545
2013-06-30,4252
2013-05-31,3729
2013-04-30,3062
2013-03-31,2618
2013-02-28,2619
2013-01-31,2835
2012-12-31,3092
2012-11-30,3039
2012-10-31,3273
2012-09-30,3492
2012-08-31,3920
2012-07-31,3971
2012-06-30,3822
2012-05-31,3407
2012-04-30,2866
2012-03-31,2473
2012-02-29,2494
2012-01-31,2580
2011-12-31,2701
2011-11-30,2659
2011-10-31,2906
2011-09-30,3119
2011-08-31,3412
2011-07-31,3428
2011-06-30,3286
2011-05-31,2971
2011-04-30,2544
